hs,tm01,count
0.5,4.5,6.82
0.5,5.5,202.0
0.5,6.5,333.61
0.5,7.5,187.76
0.5,8.5,45.59
0.5,9.5,4.74
0.5,10.5,0.21
0.5,11.5,0.0
0.5,12.5,0.0
0.5,13.5,0.0
0.5,14.5,0.0
0.5,15.5,0.0
0.5,16.5,0.0
0.5,17.5,0.0
0.5,18.5,0.0
0.5,19.5,0.0
1.5,4.5,0.33
1.5,5.5,2028.35
1.5,6.5,12750.82
1.5,7.5,11693.39
1.5,8.5,7215.76
1.5,9.5,3006.8
1.5,10.5,846.07
1.5,11.5,160.77
1.5,12.5,20.63
1.5,13.5,1.79
1.5,14.5,0.1
1.5,15.5,0.0
1.5,16.5,0.0
1.5,17.5,0.0
1.5,18.5,0.0
1.5,19.5,0.0
2.5,4.5,0.0
2.5,5.5,3.38
2.5,6.5,2805.81
2.5,7.5,8517.74
2.5,8.5,7835.85
2.5,9.5,5885.37
2.5,10.5,3608.3
2.5,11.5,1805.81
2.5,12.5,737.71
2.5,13.5,246.0
2.5,14.5,66.96
2.5,15.5,14.88
2.5,16.5,2.7
2.5,17.5,0.4
2.5,18.5,0.05
2.5,19.5,0.0
3.5,4.5,0.0
3.5,5.5,0.0
3.5,6.5,23.06
3.5,7.5,2742.51
3.5,8.5,4666.81
3.5,9.5,4100.83
3.5,10.5,2936.41
3.5,11.5,1713.38
3.5,12.5,814.68
3.5,13.5,315.65
3.5,14.5,99.66
3.5,15.5,25.64
3.5,16.5,5.38
3.5,17.5,0.92
3.5,18.5,0.13
3.5,19.5,0.01
4.5,4.5,0.0
4.5,5.5,0.0
4.5,6.5,0.0
4.5,7.5,82.06
4.5,8.5,1759.81
4.5,9.5,2069.19
4.5,10.5,1715.42
4.5,11.5,1151.29
4.5,12.5,625.51
4.5,13.5,275.12
4.5,14.5,97.96
4.5,15.5,28.24
4.5,16.5,6.59
4.5,17.5,1.24
4.5,18.5,0.19
4.5,19.5,0.02
5.5,4.5,0.0
5.5,5.5,0.0
5.5,6.5,0.0
5.5,7.5,0.08
5.5,8.5,149.74
5.5,9.5,811.81
5.5,10.5,791.81
5.5,11.5,609.66
5.5,12.5,375.67
5.5,13.5,185.26
5.5,14.5,73.12
5.5,15.5,23.09
5.5,16.5,5.84
5.5,17.5,1.18
5.5,18.5,0.19
5.5,19.5,0.02
6.5,4.5,0.0
6.5,5.5,0.0
6.5,6.5,0.0
6.5,7.5,0.0
6.5,8.5,1.02
6.5,9.5,147.59
6.5,10.5,305.37
6.5,11.5,271.71
6.5,12.5,190.23
6.5,13.5,104.79
6.5,14.5,45.42
6.5,15.5,15.49
6.5,16.5,4.16
6.5,17.5,0.88
6.5,18.5,0.15
6.5,19.5,0.02
7.5,4.5,0.0
7.5,5.5,0.0
7.5,6.5,0.0
7.5,7.5,0.0
7.5,8.5,0.0
7.5,9.5,4.77
7.5,10.5,88.62
7.5,11.5,107.2
7.5,12.5,86.26
7.5,13.5,53.35
7.5,14.5,25.36
7.5,15.5,9.27
7.5,16.5,2.6
7.5,17.5,0.56
7.5,18.5,0.09
7.5,19.5,0.01
8.5,4.5,0.0
8.5,5.5,0.0
8.5,6.5,0.0
8.5,7.5,0.0
8.5,8.5,0.0
8.5,9.5,0.02
8.5,10.5,9.4
8.5,11.5,38.7
8.5,12.5,36.8
8.5,13.5,25.95
8.5,14.5,13.63
8.5,15.5,5.33
8.5,16.5,1.55
8.5,17.5,0.34
8.5,18.5,0.05
8.5,19.5,0.01
9.5,4.5,0.0
9.5,5.5,0.0
9.5,6.5,0.0
9.5,7.5,0.0
9.5,8.5,0.0
9.5,9.5,0.0
9.5,10.5,0.2
9.5,11.5,9.34
9.5,12.5,15.15
9.5,13.5,12.51
9.5,14.5,7.39
9.5,15.5,3.12
9.5,16.5,0.94
9.5,17.5,0.2
9.5,18.5,0.03
9.5,19.5,0.0
10.5,4.5,0.0
10.5,5.5,0.0
10.5,6.5,0.0
10.5,7.5,0.0
10.5,8.5,0.0
10.5,9.5,0.0
10.5,10.5,0.0
10.5,11.5,0.81
10.5,12.5,5.73
10.5,13.5,5.96
10.5,14.5,4.08
10.5,15.5,1.9
10.5,16.5,0.6
10.5,17.5,0.13
10.5,18.5,0.02
10.5,19.5,0.0
11.5,4.5,0.0
11.5,5.5,0.0
11.5,6.5,0.0
11.5,7.5,0.0
11.5,8.5,0.0
11.5,9.5,0.0
11.5,10.5,0.0
11.5,11.5,0.02
11.5,12.5,1.29
11.5,13.5,2.68
11.5,14.5,2.23
11.5,15.5,1.18
11.5,16.5,0.4
11.5,17.5,0.08
11.5,18.5,0.01
11.5,19.5,0.0
12.5,4.5,0.0
12.5,5.5,0.0
12.5,6.5,0.0
12.5,7.5,0.0
12.5,8.5,0.0
12.5,9.5,0.0
12.5,10.5,0.0
12.5,11.5,0.0
12.5,12.5,0.11
12.5,13.5,1.01
12.5,14.5,1.14
12.5,15.5,0.72
12.5,16.5,0.27
12.5,17.5,0.06
12.5,18.5,0.01
12.5,19.5,0.0
13.5,4.5,0.0
13.5,5.5,0.0
13.5,6.5,0.0
13.5,7.5,0.0
13.5,8.5,0.0
13.5,9.5,0.0
13.5,10.5,0.0
13.5,11.5,0.0
13.5,12.5,0.0
13.5,13.5,0.22
13.5,14.5,0.51
13.5,15.5,0.42
13.5,16.5,0.18
13.5,17.5,0.04
13.5,18.5,0.0
13.5,19.5,0.0
14.5,4.5,0.0
14.5,5.5,0.0
14.5,6.5,0.0
14.5,7.5,0.0
14.5,8.5,0.0
14.5,9.5,0.0
14.5,10.5,0.0
14.5,11.5,0.0
14.5,12.5,0.0
14.5,13.5,0.02
14.5,14.5,0.19
14.5,15.5,0.21
14.5,16.5,0.12
14.5,17.5,0.03
14.5,18.5,0.0
14.5,19.5,0.0
15.5,4.5,0.0
15.5,5.5,0.0
15.5,6.5,0.0
15.5,7.5,0.0
15.5,8.5,0.0
15.5,9.5,0.0
15.5,10.5,0.0
15.5,11.5,0.0
15.5,12.5,0.0
15.5,13.5,0.0
15.5,14.5,0.04
15.5,15.5,0.09
15.5,16.5,0.07
15.5,17.5,0.02
15.5,18.5,0.0
15.5,19.5,0.0
16.5,4.5,0.0
16.5,5.5,0.0
16.5,6.5,0.0
16.5,7.5,0.0
16.5,8.5,0.0
16.5,9.5,0.0
16.5,10.5,0.0
16.5,11.5,0.0
16.5,12.5,0.0
16.5,13.5,0.0
16.5,14.5,0.0
16.5,15.5,0.03
16.5,16.5,0.04
16.5,17.5,0.01
16.5,18.5,0.0
16.5,19.5,0.0
17.5,4.5,0.0
17.5,5.5,0.0
17.5,6.5,0.0
17.5,7.5,0.0
17.5,8.5,0.0
17.5,9.5,0.0
17.5,10.5,0.0
17.5,11.5,0.0
17.5,12.5,0.0
17.5,13.5,0.0
17.5,14.5,0.0
17.5,15.5,0.01
17.5,16.5,0.02
17.5,17.5,0.01
17.5,18.5,0.0
17.5,19.5,0.0
18.5,4.5,0.0
18.5,5.5,0.0
18.5,6.5,0.0
18.5,7.5,0.0
18.5,8.5,0.0
18.5,9.5,0.0
18.5,10.5,0.0
18.5,11.5,0.0
18.5,12.5,0.0
18.5,13.5,0.0
18.5,14.5,0.0
18.5,15.5,0.0
18.5,16.5,0.01
18.5,17.5,0.01
18.5,18.5,0.0
18.5,19.5,0.0
